tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Cane Sugar,MUS,Mauritius,thousand metric tons,1813,1976,1979,saturating,national,regional_csv
Railroad,NOR,Norway,kilometers,1825,1957,1971,saturating,national,regional_csv
Railroad,FRA,France,kilometers,1825,1933,1940,saturating,national,regional_csv
Railroad,FIN,Finland,kilometers,1825,1979,2000,saturating,national,regional_csv
Railroad,SWE,Sweden,kilometers,1825,1938,1958,saturating,national,regional_csv
Railroad,DNK,Denmark,kilometers,1825,1930,1937,saturating,national,regional_csv
Railroad,ITA,Italy,kilometers,1825,1942,2000,pre_saturation,national,regional_csv
Railroad,PRT,Portugal,kilometers,1825,1994,2000,pre_saturation,national,regional_csv
Beer Production,BEL,Belgium,thousand hectolitres,1831,1931,2003,pre_saturation,national,regional_csv
Railroad,GBR,United Kingdom,kilometers,1825,1926,1950,saturating,national,regional_csv
Railroad,ESP,Spain,kilometers,1825,1952,1968,saturating,national,regional_csv
Railroad,USA,United States,kilometers,1830,1916,1935,saturating,national,regional_csv
Railroad,PAN,Panama,kilometers,1830,1986,1999,saturating,national,regional_csv
Railroad,CHE,Switzerland,kilometers,1825,1937,1946,saturating,national,regional_csv
Railroad,BEL,Belgium,kilometers,1825,1933,1941,saturating,national,regional_csv
Railroad,NLD,Netherlands,kilometers,1825,1929,1934,saturating,national,regional_csv
Cane Sugar,PHL,Philippines,thousand metric tons,1849,2008,2010,saturating,national,regional_csv
Telegraph Traffic,NLD,Netherlands,Number (millions),1830,1919,1919,declining_structural,national,regional_csv
Postal Traffic,FRA,France,Number (millions),1830,1993,1993,pre_saturation,national,regional_csv
Beer Production,FRA,France,thousand hectolitres,1835,1934,2005,pre_saturation,national,regional_csv
Railroad,CAN,Canada,kilometers,1836,1974,1979,saturating,national,regional_csv
Railroad,ECU,Ecuador,kilometers,1845,1963,1968,saturating,national,regional_csv
Railroad,BRA,Brazil,kilometers,1845,1960,1962,saturating,national,regional_csv
Railroad,URY,Uruguay,kilometers,1845,1982,1999,saturating,national,regional_csv
Gold,AUS,Australia,metric tons,1851,1998,2004,pre_saturation,national,regional_csv
